mes y año,Importaciones totales
ene-93,766
feb-93,"1,115.00"
mar-93,660
abr-93,843
may-93,973
jun-93,"1,595.00"
jul-93,"1,202.00"
ago-93,"1,183.00"
sep-93,777
oct-93,763
nov-93,618
dic-93,"1,275.00"
ene-94,450
feb-94,"1,155.00"
mar-94,997
abr-94,"1,435.00"
may-94,"1,228.00"
jun-94,458
jul-94,446
ago-94,"1,038.00"
sep-94,333
oct-94,279
nov-94,"1,032.00"
dic-94,912
ene-95,951
feb-95,"1,001.00"
mar-95,833
abr-95,406
may-95,747
jun-95,483
jul-95,"1,021.00"
ago-95,416
sep-95,"1,131.00"
oct-95,438
nov-95,519
dic-95,"1,643.00"
ene-96,888
feb-96,750
mar-96,941
abr-96,332
may-96,833
jun-96,"1,219.00"
jul-96,870
ago-96,803
sep-96,563
oct-96,776
nov-96,"1,349.00"
dic-96,812
ene-97,744
feb-97,731
mar-97,"1,025.00"
abr-97,616
may-97,"1,536.00"
jun-97,"1,007.00"
jul-97,"1,264.00"
ago-97,865
sep-97,935
oct-97,"1,151.00"
nov-97,486
dic-97,"1,862.00"
ene-98,"1,364.00"
feb-98,"1,396.00"
mar-98,"1,592.00"
abr-98,"2,122.00"
may-98,818
jun-98,"1,458.00"
jul-98,"1,499.00"
ago-98,"1,137.00"
sep-98,"1,292.00"
oct-98,"1,652.00"
nov-98,"1,157.00"
dic-98,"2,326.00"
ene-99,385
feb-99,"1,338.00"
mar-99,"1,741.00"
abr-99,"1,006.00"
may-99,"1,466.00"
jun-99,"1,274.00"
jul-99,"1,108.00"
ago-99,"1,176.00"
sep-99,"1,780.00"
oct-99,694
nov-99,"1,249.00"
dic-99,"1,193.00"
ene-00,"1,037.00"
feb-00,"1,388.00"
mar-00,"1,769.00"
abr-00,"1,315.00"
may-00,"1,001.00"
jun-00,"1,502.00"
jul-00,"1,217.00"
ago-00,"2,298.00"
sep-00,"1,342.00"
oct-00,"1,419.00"
nov-00,"1,101.00"
dic-00,"1,243.00"
ene-01,"1,451.00"
feb-01,892
mar-01,"1,632.00"
abr-01,"1,356.00"
may-01,927
jun-01,"1,759.00"
jul-01,"1,571.00"
ago-01,"1,573.00"
sep-01,"1,123.00"
oct-01,"1,658.00"
nov-01,"1,014.00"
dic-01,675
ene-02,"2,007.00"
feb-02,672
mar-02,"1,545.00"
abr-02,"1,164.00"
may-02,"2,156.00"
jun-02,905
jul-02,936
ago-02,"1,624.00"
sep-02,"1,390.00"
oct-02,"1,139.00"
nov-02,"1,865.00"
dic-02,"1,912.00"
ene-03,802
feb-03,"2,366.00"
mar-03,694
abr-03,"1,323.00"
may-03,"1,880.00"
jun-03,785
jul-03,"1,387.00"
ago-03,"2,236.00"
sep-03,"1,047.00"
oct-03,"1,380.00"
nov-03,916
dic-03,"1,009.00"
ene-04,"2,031.00"
feb-04,710
mar-04,15
abr-04,"2,723.00"
may-04,"1,764.00"
jun-04,"1,020.00"
jul-04,"2,277.00"
ago-04,"1,281.00"
sep-04,"1,078.00"
oct-04,"1,933.00"
nov-04,"1,720.00"
dic-04,"1,690.00"
ene-05,"1,051.00"
feb-05,"1,276.00"
mar-05,"1,938.00"
abr-05,919
may-05,"2,054.00"
jun-05,"2,021.00"
jul-05,489
ago-05,"1,734.00"
sep-05,"2,333.00"
oct-05,"1,134.00"
