Fecha,Producto,Marca,Origen,Peso en pie (kg),Peso en canal (kg),Precio ($/ kg)
,,,,,,
,,,,,,
,,,,,,
D.F. : Centro de distribuci�n Becerra,,,,,,
03/02/2026,Gallina,Sin marca,Coahuila,3.6,3.3,$58.00
03/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$64.00
03/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$63.50
03/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$63.70
03/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$63.90
03/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
04/02/2026,Gallina,Sin marca,Veracruz,3.6,3.3,$58.00
04/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$64.00
04/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$63.50
04/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$63.70
04/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$63.90
04/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
05/02/2026,Gallina,Sin marca,Jalisco,3.6,3.3,$58.00
05/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$64.00
05/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$63.50
05/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$63.70
05/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$63.90
05/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$65.00
06/02/2026,Gallina,Sin marca,Tabasco,3.6,3.3,$58.00
06/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$64.00
06/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$63.50
06/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$63.70
06/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$63.90
06/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$65.00
09/02/2026,Gallina,Sin marca,Coahuila,3.6,3.3,$58.00
09/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$63.00
09/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$62.50
09/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$62.70
09/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$62.90
09/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
10/02/2026,Gallina,Sin marca,Veracruz,3.6,3.3,$58.00
10/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$63.00
10/02/2026,Pollo entero,Otros,Veracruz,3.5,2.65,$62.50
10/02/2026,Pollo entero,Pilgrim's,Quer�taro,3.5,2.65,$62.70
10/02/2026,Pollo entero,Tyson,Coahuila,3.5,2.65,$62.90
10/02/2026,Pollo tipo rosticero,Bachoco,Guanajuato,2.7,1.8,$64.00
11/02/2026,Gallina,Sin marca,Jalisco,3.6,3.3,$58.00
11/02/2026,Pollo entero,Bachoco,Guanajuato,3.5,2.65,$63.00
